country,code_x,year_x,mean_years_schooling,code_y,year_y,pp_women_domestic_violence
Argentina,ARG,2018,11.29546,ARG,2018,3.7
Australia,AUS,2018,12.52498,AUS,2018,2.0
Azerbaijan,AZE,2018,10.29064,AZE,2018,4.0
Bangladesh,BGD,2018,5.79832,BGD,2018,20.8
Bosnia and Herzegovina,BIH,2018,8.84955,BIH,2018,2.7
Brazil,BRA,2018,8.18391,BRA,2018,5.3
Burkina Faso,BFA,2018,1.41272,BFA,2018,10.6
Cameroon,CMR,2018,5.50058,CMR,2018,19.0
China,CHN,2018,6.93001,CHN,2018,5.9
Colombia,COL,2018,8.65978,COL,2018,10.0
Costa Rica,CRI,2018,8.83474,CRI,2018,5.8
Cyprus,CYP,2018,12.23802,CYP,2018,3.0
Democratic Republic of Congo,COD,2018,5.52272,COD,2018,31.9
Denmark,DNK,2018,13.08185,DNK,2018,2.0
Estonia,EST,2018,14.1368,EST,2018,2.7
Gambia,GMB,2018,3.21515,GMB,2018,9.0
Georgia,GEO,2018,13.36542,GEO,2018,2.2
Guinea,GIN,2018,1.22788,GIN,2018,18.6
Honduras,HND,2018,6.38242,HND,2018,6.8
India,IND,2018,5.04163,IND,2018,15.9
Indonesia,IDN,2018,7.75852,IDN,2018,7.5
Jordan,JOR,2018,10.0112,JOR,2018,12.1
Kazakhstan,KAZ,2018,12.23838,KAZ,2018,4.9
Kiribati,KIR,2018,9.09419,KIR,2018,19.5
Kyrgyzstan,KGZ,2018,11.70635,KGZ,2018,11.6
Latvia,LVA,2018,13.52008,LVA,2018,4.4
Lesotho,LSO,2018,7.81317,LSO,2018,14.3
Mali,MLI,2018,1.23512,MLI,2018,16.7
Malta,MLT,2018,11.57716,MLT,2018,3.1
Mexico,MEX,2018,8.77634,MEX,2018,8.9
Moldova,MDA,2018,11.84919,MDA,2018,8.2
Mongolia,MNG,2018,11.41786,MNG,2018,9.3
Montenegro,MNE,2018,11.74171,MNE,2018,3.5
Netherlands,NLD,2018,12.08118,NLD,2018,3.5
Niger,NER,2018,0.86577,NER,2018,13.9
Nigeria,NGA,2018,5.85416,NGA,2018,11.7
North Macedonia,MKD,2018,11.19892,MKD,2018,3.3
Pakistan,PAK,2018,3.61991,PAK,2018,14.6
Palestine,PSE,2018,9.41896,PSE,2018,17.1
Papua New Guinea,PNG,2018,4.09359,PNG,2018,25.5
Paraguay,PRY,2018,8.59277,PRY,2018,4.9
Peru,PER,2018,9.20298,PER,2018,9.1
Portugal,PRT,2018,9.22299,PRT,2018,3.6
Rwanda,RWA,2018,3.92211,RWA,2018,21.5
Senegal,SEN,2018,2.37442,SEN,2018,10.8
Singapore,SGP,2018,11.34617,SGP,2018,2.0
Slovakia,SVK,2018,12.81052,SVK,2018,4.4
Spain,ESP,2018,10.04884,ESP,2018,2.6
Sri Lanka,LKA,2018,10.6369,LKA,2018,3.3
Suriname,SUR,2018,8.40818,SUR,2018,5.9
Switzerland,CHE,2018,13.39236,CHE,2018,1.2
Tanzania,TZA,2018,5.03292,TZA,2018,21.7
Thailand,THA,2018,8.17591,THA,2018,7.1
Tunisia,TUN,2018,6.86841,TUN,2018,8.3
United States,USA,2018,13.5278,USA,2018,4.2
Uruguay,URY,2018,9.17076,URY,2018,3.4
Zambia,ZMB,2018,6.15138,ZMB,2018,25.2
