Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with women participation in ownership,Percent of firms with majority women ownership,Percent of firms with a woman top manager,[B-READY] Percent of firms owned or managed by women among those that held a government contract in last 3 years,Proportion of permanent full-time workers that are women (%),Proportion of permanent full-time production workers that are women (%)*,Proportion of permanent full-time non-production workers that are women (%)*,Proportion of women workers offered formal training over last fiscal year (%)*,"Proportion of women workers offered formal training over last fiscal year (%, only service sector)"
All,,,,,Average,33.6,14.9,18.7,39.3,32.6,28.1,42.3,45,45.4
East Asia & Pacific,,,,,Average,44.2,25.7,34.8,45.3,39.1,34,53.9,53,51
Europe & Central Asia,,,,,Average,34.1,13.3,17.3,40.2,37.1,33.7,49.6,52.8,51.9
Latin America & Caribbean,,,,,Average,47.4,18.7,20.2,54.2,35.3,25.5,45.7,68.1,63.9
Middle East & North Africa,,,,,Average,17.4,4.1,5.5,17.5,19.7,18.6,27.9,23.4,21.7
South Asia,,,,,Average,10.6,5.5,8.4,22.2,19.7,21.8,23.7,34.3,32.1
Sub-Saharan Africa,,,,,Average,29.7,14.5,17.2,36.6,28.1,23.7,34.4,31.2,37.1
Afghanistan,2008,,,,Average,2.8,,0.7,,3.3,3.4,0.6,,
Afghanistan,2008,Sector,Manufacturing,All,Average,2.4,,0,,2.2,3.4,0.6,,
Afghanistan,2008,Sector,Manufacturing,Manufacturing,Average,2.4,,0,,2.2,3.4,0.6,,
Afghanistan,2008,Sector,Services,All,Average,2.9,,1,,3.6,,,,
Afghanistan,2008,Sector,Services,Construction,Average,4.7,,1.2,,3.1,,,,
Afghanistan,2008,Sector,Services,Retail,Average,0,,0,,1.8,,,,
Afghanistan,2008,Sector,Services,Other Services,Average,3,,1.5,,5.9,,,,
Afghanistan,2008,Size,,Small (5-19),Average,2,,0.3,,3,3,1.1,,
Afghanistan,2008,Size,,Medium (20-99),Average,4.8,,2.1,,4.2,4.3,0.3,,
Afghanistan,2008,Size,,Large (100+),Average,2.4,,0,,1.6,0,0,,
Afghanistan,2008,Gender of Top Manager,,Top manager is female,Average,n.a.,,n.a.,,n.a.,,,,
Afghanistan,2008,Gender of Top Manager,,Top manager is male,Average,2.1,,0,,3.2,3.4,0.6,,
Afghanistan,2014,,,,Average,2.2,0.5,4.7,,22.1,34.3,47.2,,
Afghanistan,2014,Sector,Manufacturing,All,Average,5.3,1.4,8.2,,29.5,34.3,47.2,,
Afghanistan,2014,Sector,Manufacturing,Manufacturing,Average,5.3,1.4,8.2,,29.5,34.3,47.2,,
Afghanistan,2014,Sector,Services,All,Average,0.4,0,2.6,,11.3,,,,
Afghanistan,2014,Sector,Services,Construction,Average,0,0,10.9,,9.6,,,,
Afghanistan,2014,Sector,Services,Retail,Average,1.2,0,1.2,,n.a.,,,,
Afghanistan,2014,Sector,Services,Other Services,Average,0,0,0.9,,12.5,,,,
Afghanistan,2014,Size,,Small (5-19),Average,2.1,0.7,2.8,,34.2,n.a.,51.1,,
Afghanistan,2014,Size,,Medium (20-99),Average,2,0.2,9,,16.4,18.9,45.8,,
Afghanistan,2014,Size,,Large (100+),Average,4.9,0,8.4,,18.2,n.a.,n.a.,,
Afghanistan,2014,Gender of Top Manager,,Top manager is female,Average,37.6,11.4,100,,22.5,52.1,40.9,,
Afghanistan,2014,Gender of Top Manager,,Top manager is male,Average,0.5,0,0,,22,30.7,50.8,,
Albania,2007,,,,Average,10.8,,,,37.4,40.1,37.5,,
Albania,2007,Sector,Manufacturing,All,Average,10,,,,37.4,40.1,37.5,,
Albania,2007,Sector,Manufacturing,Manufacturing,Average,10,,,,37.4,40.1,37.5,,
Albania,2007,Sector,Services,All,Average,11.2,,,,,,,,
Albania,2007,Sector,Services,Retail,Average,11.5,,,,,,,,
Albania,2007,Sector,Services,Other Services,Average,10.7,,,,,,,,
Albania,2007,Size,,Small (5-19),Average,8.7,,,,28.5,29,37.4,,
Albania,2007,Size,,Medium (20-99),Average,12.7,,,,44.4,48.9,34.8,,
Albania,2007,Size,,Large (100+),Average,30.2,,,,51.5,58.6,46.7,,
Albania,2013,,,,Average,13.1,8,12.2,,45.4,60,62.6,,
Albania,2013,Sector,Manufacturing,All,Average,13.6,5.3,11.1,,58.4,60,62.6,,
Albania,2013,Sector,Manufacturing,Manufacturing,Average,13.6,5.3,11.1,,58.4,60,62.6,,
Albania,2013,Sector,Services,All,Average,12.8,9.3,12.8,,39.7,,,,
Albania,2013,Sector,Services,Retail,Average,13.1,9.1,13.1,,50.8,,,,
Albania,2013,Sector,Services,Other Services,Average,12.6,9.4,12.6,,35.5,,,,
Albania,2013,Size,,Small (5-19),Average,14.4,9.6,12.4,,45.2,59.2,65.3,,
Albania,2013,Size,,Medium (20-99),Average,6.4,0.8,6.9,,46.3,57.2,60.2,,
Albania,2013,Size,,Large (100+),Average,17,10.7,25.1,,45.8,74.1,54.8,,
Albania,2013,Gender of Top Manager,,Top manager is female,Average,84.2,62.3,100,,56.3,79,92.8,,
Albania,2013,Gender of Top Manager,,Top manager is male,Average,3.3,0.4,0,,43.5,57.1,58.7,,
Albania,2019,,,,Average,20.7,16.9,18.1,,52.8,99.8,98.4,,
Albania,2019,Sector,Manufacturing,All,Average,22.9,17,22.1,,99,99.8,98.4,,
Albania,2019,Sector,Manufacturing,Manufacturing,Average,22.9,17,22.1,,99,99.8,98.4,,
Albania,2019,Sector,Services,All,Average,19.9,16.9,16.7,,37.2,,,,
Albania,2019,Sector,Services,Retail,Average,20.9,14.5,15,,47.3,,,,
Albania,2019,Sector,Services,Other Services,Average,19.6,17.6,17.2,,34,,,,
Albania,2019,Size,,Small (5-19),Average,19.6,17.5,17.3,,49.6,99.8,100,,
Albania,2019,Size,,Medium (20-99),Average,20,14.6,17.2,,53.5,99.8,95.9,,
Albania,2019,Size,,Large (100+),Average,36.4,20.3,31,,85.2,99.7,99.2,,
Albania,2019,Gender of Top Manager,,Top manager is female,Average,95.3,88.1,100,,61.1,100,99.8,,
Albania,2019,Gender of Top Manager,,Top manager is male,Average,4.2,1.2,0,,50.8,99.7,97.9,,
Angola,2006,,,,Average,23.4,,,,16.3,13.6,31.9,,
Angola,2006,Sector,Manufacturing,All,Average,19.7,,,,16.3,13.6,31.9,,
Angola,2006,Sector,Manufacturing,Food,Average,36.5,,,,26.7,22.9,42.9,,
Angola,2006,Sector,Manufacturing,Garments,Average,19,,,,45.6,44.7,45.6,,
Angola,2006,Sector,Manufacturing,Other Manufacturing,Average,10,,,,5.9,3.6,21,,
Angola,2006,Sector,Services,All,Average,28.2,,,,,,,,
Angola,2006,Sector,Services,Retail,Average,22.2,,,,,,,,
Angola,2006,Sector,Services,Other Services,Average,34.7,,,,,,,,
Angola,2006,Size,,Small (5-19),Average,21.9,,,,16,13.8,29.6,,
Angola,2006,Size,,Medium (20-99),Average,32.2,,,,18.4,12.6,42.6,,
Angola,2006,Size,,Large (100+),Average,n.a.,,,,,n.a.,n.a.,,
Angola,2010,,,,Average,56.6,9.3,13.5,,51,49.5,58.5,,
Angola,2010,Sector,Manufacturing,All,Average,55.6,8.6,10.6,,58.7,49.5,58.5,,
Angola,2010,Sector,Manufacturing,Manufacturing,Average,55.6,8.6,10.6,,58.7,49.5,58.5,,
Angola,2010,Sector,Services,All,Average,57.1,9.7,15,,47.4,,,,
Angola,2010,Sector,Services,Retail,Average,65.8,19.4,26.6,,48.7,,,,
Angola,2010,Sector,Services,Other Services,Average,54.7,7.1,11.7,,46.9,,,,
Angola,2010,Size,,Small (5-19),Average,55.4,15.5,21.8,,58.9,51.7,60.9,,
Angola,2010,Size,,Medium (20-99),Average,53.8,1.4,3,,41.4,48.1,59.2,,
Angola,2010,Size,,Large (100+),Average,71.1,4.9,7.2,,40.9,43.4,48.7,,
Angola,2010,Gender of Top Manager,,Top manager is female,Average,100,59.8,100,,68.1,54.1,72.6,,
Angola,2010,Gender of Top Manager,,Top manager is male,Average,50.4,1.6,0,,48.1,48.4,57.4,,
Antigua and Barbuda,2010,,,,Average,21.3,,17.5,,44.6,,,,
Antigua and Barbuda,2010,Sector,Manufacturing,All,Average,11.7,,6,,27.5,,,,
Antigua and Barbuda,2010,Sector,Manufacturing,Manufacturing,Average,11.7,,6,,27.5,,,,
Antigua and Barbuda,2010,Sector,Services,All,Average,22.4,,18.9,,46.6,,,,
Antigua and Barbuda,2010,Sector,Services,Services,Average,22.4,,18.9,,46.6,,,,
Antigua and Barbuda,2010,Size,,Small (5-19),Average,24.8,,22.3,,43.5,,,,
Antigua and Barbuda,2010,Size,,Medium (20-99),Average,13.7,,5.7,,46.6,,,,
Antigua and Barbuda,2010,Size,,Large (100+),Average,0,,0,,n.a.,,,,
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is female,Average,73.5,,100,,48.9,,,,
Antigua and Barbuda,2010,Gender of Top Manager,,Top manager is male,Average,10.2,,0,,43.7,,,,
Argentina,2006,,,,Average,30.3,,,,21.7,14.9,46.5,,
Argentina,2006,Sector,Manufacturing,All,Average,32.8,,,,21.7,14.9,46.5,,
Argentina,2006,Sector,Manufacturing,Food,Average,26,,,,21.8,17.7,44.5,,
Argentina,2006,Sector,Manufacturing,Textiles,Average,46.4,,,,29.1,24.3,44.5,,
Argentina,2006,Sector,Manufacturing,Garments,Average,41.4,,,,51.3,52.2,53.3,,
Argentina,2006,Sector,Manufacturing,Machinery & Equipment,Average,22.7,,,,9.1,2.9,27.6,,
