id_country,name,region,incomeLevel,year,value
AUT,Austria,ECS,HIC,2000,-6.318000000000012
AUT,Austria,ECS,HIC,2001,-6.01400000000001
AUT,Austria,ECS,HIC,2002,-5.268000000000001
AUT,Austria,ECS,HIC,2003,-5.347999999999999
AUT,Austria,ECS,HIC,2004,-4.372
AUT,Austria,ECS,HIC,2005,-3.2700000000000102
AUT,Austria,ECS,HIC,2006,-5.1070000000000135
AUT,Austria,ECS,HIC,2007,-6.522999999999996
AUT,Austria,ECS,HIC,2008,-6.884
AUT,Austria,ECS,HIC,2009,-5.641999999999996
AUT,Austria,ECS,HIC,2010,-7.527000000000001
AUT,Austria,ECS,HIC,2011,-6.003999999999991
AUT,Austria,ECS,HIC,2012,-6.317999999999998
AUT,Austria,ECS,HIC,2013,-4.835000000000008
AUT,Austria,ECS,HIC,2014,-3.2819999999999965
AUT,Austria,ECS,HIC,2015,-4.910999999999987
AUT,Austria,ECS,HIC,2016,-4.435000000000002
AUT,Austria,ECS,HIC,2017,-4.5319999999999965
AUT,Austria,ECS,HIC,2018,-5.204000000000008
AUT,Austria,ECS,HIC,2019,-4.73299999999999
AUT,Austria,ECS,HIC,2020,-4.591999999999999
AUT,Austria,ECS,HIC,2021,-5.185000000000002
AUT,Austria,ECS,HIC,2022,-7.134999999999991
AUT,Austria,ECS,HIC,2023,-6.540999999999997
BEL,Belgium,ECS,HIC,2000,-7.850999999999999
BEL,Belgium,ECS,HIC,2001,-6.760999999999996
BEL,Belgium,ECS,HIC,2002,-6.189999999999998
BEL,Belgium,ECS,HIC,2003,-7.0460000000000065
BEL,Belgium,ECS,HIC,2004,-7.875999999999991
BEL,Belgium,ECS,HIC,2005,-7.103999999999999
BEL,Belgium,ECS,HIC,2006,-6.0390000000000015
BEL,Belgium,ECS,HIC,2007,-5.86999999999999
BEL,Belgium,ECS,HIC,2008,-6.253
BEL,Belgium,ECS,HIC,2009,-5.310000000000002
BEL,Belgium,ECS,HIC,2010,-4.952999999999989
BEL,Belgium,ECS,HIC,2011,-5.076000000000008
BEL,Belgium,ECS,HIC,2012,-4.969000000000008
BEL,Belgium,ECS,HIC,2013,-5.528999999999996
BEL,Belgium,ECS,HIC,2014,-4.429000000000002
BEL,Belgium,ECS,HIC,2015,-5.003
BEL,Belgium,ECS,HIC,2016,-3.911999999999992
BEL,Belgium,ECS,HIC,2017,-4.484999999999999
BEL,Belgium,ECS,HIC,2018,-4.852999999999994
BEL,Belgium,ECS,HIC,2019,-5.121000000000009
BEL,Belgium,ECS,HIC,2020,-5.7760000000000105
BEL,Belgium,ECS,HIC,2021,-4.89500000000001
BEL,Belgium,ECS,HIC,2022,-4.162999999999997
BEL,Belgium,ECS,HIC,2023,-5.165000000000006
BGR,Bulgaria,ECS,HIC,2000,-6.259999999999991
BGR,Bulgaria,ECS,HIC,2001,-6.585000000000008
BGR,Bulgaria,ECS,HIC,2002,-6.600999999999999
BGR,Bulgaria,ECS,HIC,2003,-7.7309999999999945
BGR,Bulgaria,ECS,HIC,2004,-6.179000000000002
BGR,Bulgaria,ECS,HIC,2005,-7.75800000000001
BGR,Bulgaria,ECS,HIC,2006,-6.2309999999999945
BGR,Bulgaria,ECS,HIC,2007,-5.5260000000000105
BGR,Bulgaria,ECS,HIC,2008,-5.364000000000004
BGR,Bulgaria,ECS,HIC,2009,-8.259999999999991
BGR,Bulgaria,ECS,HIC,2010,-4.393000000000001
BGR,Bulgaria,ECS,HIC,2011,-3.5819999999999936
BGR,Bulgaria,ECS,HIC,2012,-3.3059999999999974
BGR,Bulgaria,ECS,HIC,2013,-4.2890000000000015
BGR,Bulgaria,ECS,HIC,2014,-4.834000000000003
BGR,Bulgaria,ECS,HIC,2015,-5.313000000000002
BGR,Bulgaria,ECS,HIC,2016,-6.269999999999996
BGR,Bulgaria,ECS,HIC,2017,-3.668999999999997
BGR,Bulgaria,ECS,HIC,2018,-5.3700000000000045
BGR,Bulgaria,ECS,HIC,2019,-4.734000000000009
BGR,Bulgaria,ECS,HIC,2020,-4.722999999999999
BGR,Bulgaria,ECS,HIC,2021,-2.6069999999999993
BGR,Bulgaria,ECS,HIC,2022,-3.667999999999992
BGR,Bulgaria,ECS,HIC,2023,-3.1089999999999947
CAN,Canada,NAC,HIC,2000,-9.113
CAN,Canada,NAC,HIC,2001,-8.37700000000001
CAN,Canada,NAC,HIC,2002,-8.302000000000007
CAN,Canada,NAC,HIC,2003,-7.646000000000001
CAN,Canada,NAC,HIC,2004,-7.606999999999999
CAN,Canada,NAC,HIC,2005,-7.813999999999993
CAN,Canada,NAC,HIC,2006,-7.777999999999992
CAN,Canada,NAC,HIC,2007,-7.0120000000000005
CAN,Canada,NAC,HIC,2008,-7.430999999999997
CAN,Canada,NAC,HIC,2009,-6.313000000000002
CAN,Canada,NAC,HIC,2010,-6.489000000000004
CAN,Canada,NAC,HIC,2011,-6.469999999999999
CAN,Canada,NAC,HIC,2012,-6.135999999999996
CAN,Canada,NAC,HIC,2013,-6.3430000000000035
CAN,Canada,NAC,HIC,2014,-6.421999999999997
CAN,Canada,NAC,HIC,2015,-7.114000000000004
CAN,Canada,NAC,HIC,2016,-7.049000000000007
CAN,Canada,NAC,HIC,2017,-6.5660000000000025
CAN,Canada,NAC,HIC,2018,-6.609000000000009
CAN,Canada,NAC,HIC,2019,-6.242000000000004
CAN,Canada,NAC,HIC,2020,-6.85799999999999
CAN,Canada,NAC,HIC,2021,-6.385999999999996
CAN,Canada,NAC,HIC,2022,-5.9879999999999995
CAN,Canada,NAC,HIC,2023,-5.853000000000009
CHE,Switzerland,ECS,HIC,2000,-12.951000000000008
CHE,Switzerland,ECS,HIC,2001,-10.367000000000004
CHE,Switzerland,ECS,HIC,2002,-11.287999999999997
CHE,Switzerland,ECS,HIC,2003,-9.980000000000004
CHE,Switzerland,ECS,HIC,2004,-9.72699999999999
CHE,Switzerland,ECS,HIC,2005,-8.434999999999988
CHE,Switzerland,ECS,HIC,2006,-8.936000000000007
CHE,Switzerland,ECS,HIC,2007,-8.903000000000006
CHE,Switzerland,ECS,HIC,2008,-8.353000000000009
CHE,Switzerland,ECS,HIC,2009,-7.740000000000009
CHE,Switzerland,ECS,HIC,2010,-10.869
CHE,Switzerland,ECS,HIC,2011,-9.899000000000001
CHE,Switzerland,ECS,HIC,2012,-9.494
CHE,Switzerland,ECS,HIC,2013,-8.25500000000001
CHE,Switzerland,ECS,HIC,2014,-8.310000000000002
CHE,Switzerland,ECS,HIC,2015,-8.538000000000011
CHE,Switzerland,ECS,HIC,2016,-7.061000000000007
CHE,Switzerland,ECS,HIC,2017,-7.140000000000001
CHE,Switzerland,ECS,HIC,2018,-6.998000000000005
CHE,Switzerland,ECS,HIC,2019,-6.947000000000003
CHE,Switzerland,ECS,HIC,2020,-6.823999999999998
CHE,Switzerland,ECS,HIC,2021,-6.063999999999993
CHE,Switzerland,ECS,HIC,2022,-6.576999999999998
CHE,Switzerland,ECS,HIC,2023,-6.062000000000012
CYP,Cyprus,ECS,HIC,2000,-7.567999999999998
CYP,Cyprus,ECS,HIC,2001,-6.487000000000009
CYP,Cyprus,ECS,HIC,2002,-5.991
CYP,Cyprus,ECS,HIC,2003,-4.697999999999993
CYP,Cyprus,ECS,HIC,2004,-5.944000000000003
CYP,Cyprus,ECS,HIC,2005,-7.882999999999996
CYP,Cyprus,ECS,HIC,2006,-8.560000000000002
CYP,Cyprus,ECS,HIC,2007,-6.760999999999996
CYP,Cyprus,ECS,HIC,2008,-6.306999999999988
CYP,Cyprus,ECS,HIC,2009,-4.803999999999988
CYP,Cyprus,ECS,HIC,2010,-6.693000000000012
