country,year,pp_female_managers,pp_female_parliaments,oecd
Albania,2021,,29.5,
Andorra,2021,,46.4,
Armenia,2021,29.6,22.7,
Austria,2021,35.5,39.9,1.0
Azerbaijan,2021,35.5,18.2,
Belarus,2021,47.2,40.0,
Belgium,2021,35.4,42.0,1.0
Bosnia and Herzegovina,2021,24.2,26.2,
Bulgaria,2021,36.3,27.1,
Canada,2021,35.6,29.6,1.0
Croatia,2021,28.8,31.1,
Cyprus,2021,21.0,21.4,
Czechia,2021,28.3,23.0,1.0
Denmark,2021,28.3,39.7,1.0
Estonia,2021,41.2,27.7,1.0
Finland,2021,35.9,46.0,1.0
France,2021,37.8,39.5,1.0
Georgia,2021,,20.7,
Germany,2021,29.2,31.4,1.0
Greece,2021,29.6,21.7,1.0
Hungary,2021,36.6,12.6,1.0
Iceland,2021,37.6,39.7,1.0
Ireland,2021,38.4,22.5,1.0
Israel,2021,29.1,26.7,1.0
Italy,2021,28.8,35.7,1.0
Kazakhstan,2021,,27.1,
Kyrgyzstan,2021,42.9,17.1,
Latvia,2021,44.2,29.0,1.0
Liechtenstein,2021,,12.0,
Lithuania,2021,37.0,27.7,1.0
Luxembourg,2021,20.6,31.7,1.0
Malta,2021,30.1,13.4,
Monaco,2021,,33.3,
Montenegro,2021,36.3,24.7,
Netherlands,2021,26.3,33.3,1.0
North Macedonia,2021,21.6,39.2,
Norway,2021,34.2,44.4,1.0
Poland,2021,43.0,28.3,1.0
Portugal,2021,34.0,40.0,1.0
Republic of Moldova,2021,44.6,24.8,
Romania,2021,35.8,18.5,
Russian Federation,2021,46.2,15.8,
San Marino,2021,,33.3,
Serbia,2021,33.0,39.2,
Slovakia,2021,38.0,22.7,1.0
Slovenia,2021,34.0,26.7,1.0
Spain,2021,34.1,44.0,1.0
Sweden,2021,43.0,47.0,1.0
Switzerland,2021,31.5,42.0,1.0
Tajikistan,2021,,23.8,
Turkiye,2021,19.6,17.3,1.0
Turkmenistan,2021,,25.0,
Ukraine,2021,41.0,20.8,
United Kingdom,2021,,33.9,1.0
United States,2021,41.4,27.3,1.0
Uzbekistan,2021,,32.6,
