country,year,subgroup,subgroup_level,pp_female_ceo
Afghanistan,2014.0,,All,4.7
Afghanistan,2014.0,Size,Small (5-19),2.8
Afghanistan,2014.0,Size,Medium (20-99),9
Afghanistan,2014.0,Size,Large (100+),8.4
Albania,2019.0,,All,18.1
Albania,2019.0,Size,Small (5-19),17.3
Albania,2019.0,Size,Medium (20-99),17.2
Albania,2019.0,Size,Large (100+),31
Angola,2010.0,,All,13.5
Angola,2010.0,Size,Small (5-19),21.8
Angola,2010.0,Size,Medium (20-99),3
Angola,2010.0,Size,Large (100+),7.2
Antigua and Barbuda,2010.0,,All,17.5
Antigua and Barbuda,2010.0,Size,Small (5-19),22.3
Antigua and Barbuda,2010.0,Size,Medium (20-99),5.7
Antigua and Barbuda,2010.0,Size,Large (100+),0
Argentina,2017.0,,All,8
Argentina,2017.0,Size,Small (5-19),9.5
Argentina,2017.0,Size,Medium (20-99),4.7
Argentina,2017.0,Size,Large (100+),6.9
Armenia,2020.0,,All,19.1
Armenia,2020.0,Size,Small (5-19),22.2
Armenia,2020.0,Size,Medium (20-99),13.8
Armenia,2020.0,Size,Large (100+),15.8
Austria,2021.0,,All,18.8
Austria,2021.0,Size,Small (5-19),20.1
Austria,2021.0,Size,Medium (20-99),17.8
Austria,2021.0,Size,Large (100+),4.2
Azerbaijan,2019.0,,All,16.5
Azerbaijan,2019.0,Size,Small (5-19),16.1
Azerbaijan,2019.0,Size,Medium (20-99),23.3
Azerbaijan,2019.0,Size,Large (100+),4.1
"Bahamas, The",2010.0,,All,33.2
"Bahamas, The",2010.0,Size,Small (5-19),37.4
"Bahamas, The",2010.0,Size,Medium (20-99),34.9
"Bahamas, The",2010.0,Size,Large (100+),5
Bangladesh,2022.0,,All,3.6
Bangladesh,2022.0,Size,Small (5-19),3.2
Bangladesh,2022.0,Size,Medium (20-99),3.9
Bangladesh,2022.0,Size,Large (100+),3.9
Barbados,2023.0,,All,16.9
Barbados,2023.0,Size,Small (5-19),16.7
Barbados,2023.0,Size,Medium (20-99),21.6
Barbados,2023.0,Size,Large (100+),5.1
Belarus,2018.0,,All,21.1
Belarus,2018.0,Size,Small (5-19),26.3
Belarus,2018.0,Size,Medium (20-99),15.6
Belarus,2018.0,Size,Large (100+),5.5
Belgium,2020.0,,All,17.9
Belgium,2020.0,Size,Small (5-19),18.3
Belgium,2020.0,Size,Medium (20-99),18
Belgium,2020.0,Size,Large (100+),11.6
Belize,2010.0,,All,25.5
Belize,2010.0,Size,Small (5-19),26
Belize,2010.0,Size,Medium (20-99),26.1
Belize,2010.0,Size,Large (100+),0
Benin,2016.0,,All,25.9
Benin,2016.0,Size,Medium (20-99),6.5
Benin,2016.0,Size,Small (5-19),48.1
Benin,2016.0,Size,Large (100+),3.1
Bhutan,2024.0,,All,21.4
Bhutan,2024.0,Size,Small (5-19),24
Bhutan,2024.0,Size,Medium (20-99),19.6
Bhutan,2024.0,Size,Large (100+),2.3
Bolivia,2017.0,,All,26.3
Bolivia,2017.0,Size,Small (5-19),31.9
Bolivia,2017.0,Size,Medium (20-99),10.8
Bolivia,2017.0,Size,Large (100+),4.2
Bosnia and Herzegovina,2023.0,,All,15.3
Bosnia and Herzegovina,2023.0,Size,Small (5-19),16.8
Bosnia and Herzegovina,2023.0,Size,Medium (20-99),10.7
Bosnia and Herzegovina,2023.0,Size,Large (100+),19.3
Botswana,2023.0,,All,23
Botswana,2023.0,Size,Small (5-19),25.9
Botswana,2023.0,Size,Medium (20-99),16.1
Botswana,2023.0,Size,Large (100+),26.5
Brazil,2009.0,,All,19.4
Brazil,2009.0,Size,Medium (20-99),24.8
Brazil,2009.0,Size,Small (5-19),18.5
Brazil,2009.0,Size,Large (100+),4.3
Bulgaria,2023.0,,All,23.5
Bulgaria,2023.0,Size,Small (5-19),25.3
Bulgaria,2023.0,Size,Medium (20-99),21.8
Bulgaria,2023.0,Size,Large (100+),13.9
Burkina Faso,2009.0,,All,11.3
Burkina Faso,2009.0,Size,Small (5-19),10.1
Burkina Faso,2009.0,Size,Medium (20-99),16.9
Burkina Faso,2009.0,Size,Large (100+),5
Burundi,2014.0,,All,16.3
Burundi,2014.0,Size,Small (5-19),22.9
Burundi,2014.0,Size,Medium (20-99),5.1
Burundi,2014.0,Size,Large (100+),20.9
Cabo Verde,2009.0,,All,16.7
Cabo Verde,2009.0,Size,Small (5-19),19.6
Cabo Verde,2009.0,Size,Medium (20-99),7.6
Cabo Verde,2009.0,Size,Large (100+),8.5
Cambodia,2023.0,,All,33.7
Cambodia,2023.0,Size,Small (5-19),36.9
Cambodia,2023.0,Size,Medium (20-99),24.1
Cambodia,2023.0,Size,Large (100+),20.8
Cameroon,2016.0,,All,22.9
Cameroon,2016.0,Size,Small (5-19),20.9
Cameroon,2016.0,Size,Medium (20-99),31.8
Cameroon,2016.0,Size,Large (100+),20.5
Central African Republic,2023.0,,All,10.2
Central African Republic,2023.0,Size,Small (5-19),14.7
Central African Republic,2023.0,Size,Medium (20-99),0
Central African Republic,2023.0,Size,Large (100+),0
Chad,2023.0,,All,8.5
Chad,2023.0,Size,Small (5-19),8.1
Chad,2023.0,Size,Medium (20-99),14
Chad,2023.0,Size,Large (100+),0
Chile,2010.0,,All,4.5
Chile,2010.0,Size,Medium (20-99),3.7
Chile,2010.0,Size,Large (100+),1.5
Chile,2010.0,Size,Small (5-19),8.5
China,2012.0,,All,17.5
China,2012.0,Size,Medium (20-99),12.2
China,2012.0,Size,Large (100+),12.8
China,2012.0,Size,Small (5-19),21.8
Colombia,2023.0,,All,24.6
Colombia,2023.0,Size,Small (5-19),28
Colombia,2023.0,Size,Medium (20-99),21.2
Colombia,2023.0,Size,Large (100+),13.6
"Congo, Dem. Rep.",2013.0,,All,10.8
"Congo, Dem. Rep.",2013.0,Size,Small (5-19),12.2
"Congo, Dem. Rep.",2013.0,Size,Medium (20-99),3.4
"Congo, Dem. Rep.",2013.0,Size,Large (100+),6.6
"Congo, Rep.",2024.0,,All,19.3
"Congo, Rep.",2024.0,Size,Small (5-19),18.2
"Congo, Rep.",2024.0,Size,Medium (20-99),17.5
"Congo, Rep.",2024.0,Size,Large (100+),29.6
Costa Rica,2023.0,,All,25.3
Costa Rica,2023.0,Size,Small (5-19),26.3
Costa Rica,2023.0,Size,Medium (20-99),29.6
Costa Rica,2023.0,Size,Large (100+),7.4
Cote d'Ivoire,2023.0,,All,11.6
Cote d'Ivoire,2023.0,Size,Small (5-19),17.4
Cote d'Ivoire,2023.0,Size,Medium (20-99),5.1
Cote d'Ivoire,2023.0,Size,Large (100+),0.5
Croatia,2023.0,,All,26.2
Croatia,2023.0,Size,Small (5-19),28.7
Croatia,2023.0,Size,Medium (20-99),21.2
Croatia,2023.0,Size,Large (100+),11.4
Cyprus,2019.0,,All,8.2
Cyprus,2019.0,Size,Small (5-19),7.6
Cyprus,2019.0,Size,Medium (20-99),12.2
Cyprus,2019.0,Size,Large (100+),3
Czechia,2019.0,,All,16.1
Czechia,2019.0,Size,Small (5-19),18.6
Czechia,2019.0,Size,Medium (20-99),10.9
Czechia,2019.0,Size,Large (100+),4.3
Denmark,2020.0,,All,8.3
Denmark,2020.0,Size,Small (5-19),8.9
Denmark,2020.0,Size,Medium (20-99),8.2
Denmark,2020.0,Size,Large (100+),3.1
Djibouti,2013.0,,All,14.2
Djibouti,2013.0,Size,Small (5-19),14.4
Djibouti,2013.0,Size,Medium (20-99),15.3
Djibouti,2013.0,Size,Large (100+),7.1
Dominica,2010.0,,All,23.6
Dominica,2010.0,Size,Small (5-19),23.8
Dominica,2010.0,Size,Medium (20-99),26.9
Dominica,2010.0,Size,Large (100+),n.a.
Dominican Republic,2016.0,,All,21.2
Dominican Republic,2016.0,Size,Small (5-19),25
Dominican Republic,2016.0,Size,Medium (20-99),12.8
Dominican Republic,2016.0,Size,Large (100+),18.1
Ecuador,2017.0,,All,22.9
Ecuador,2017.0,Size,Small (5-19),25.4
Ecuador,2017.0,Size,Medium (20-99),23.7
Ecuador,2017.0,Size,Large (100+),5.8
