id_country,name,region,incomeLevel,year,female,male,gdp_pc_2010
AFG,Afghanistan,SAS,LIC,2014,861.367,1023.576,575.146245808546
AFG,Afghanistan,SAS,LIC,2020,915.02,1173.486,527.834554499306
AGO,Angola,SSF,LMC,2019,985.486,963.019,2664.43850995544
AGO,Angola,SSF,LMC,2021,777.227,634.736,2385.44881834294
ALB,Albania,ECS,UMC,2015,2000.435,1700.68,3952.80357364813
ALB,Albania,ECS,UMC,2016,1773.138,1830.795,4090.37272829183
ALB,Albania,ECS,UMC,2017,1804.909,1808.563,4249.8200493985
ALB,Albania,ECS,UMC,2018,1870.037,1886.795,4431.55559506989
ALB,Albania,ECS,UMC,2019,1928.255,1900.358,4542.26866282892
ALB,Albania,ECS,UMC,2020,1888.374,1840.138,4417.04105105395
ALB,Albania,ECS,UMC,2021,1948.933,1900.375,4858.05201500931
ALB,Albania,ECS,UMC,2022,2176.719,2104.035,5154.8274975368
ARG,Argentina,LCN,UMC,2011,1761.774,2612.053,14040.6189124444
ARG,Argentina,LCN,UMC,2012,2169.671,2622.387,13754.4254235596
ARG,Argentina,LCN,UMC,2013,2019.877,2541.683,13946.0950832252
ARG,Argentina,LCN,UMC,2014,1951.713,2382.684,13456.1319159151
ARG,Argentina,LCN,UMC,2017,2491.838,3470.77,13520.1129846159
ARG,Argentina,LCN,UMC,2018,2735.846,3696.008,13058.3285449954
ARG,Argentina,LCN,UMC,2019,2559.607,3038.825,12706.3978108968
ARG,Argentina,LCN,UMC,2020,2376.097,3155.958,11393.0505957877
ARG,Argentina,LCN,UMC,2021,2527.914,3556.448,12549.2811699342
ARG,Argentina,LCN,UMC,2022,2759.09,3380.41,13182.7933950725
ARM,Armenia,ECS,UMC,2014,555.172,815.555,3393.09252326884
ARM,Armenia,ECS,UMC,2015,647.289,893.503,3512.39350276709
ARM,Armenia,ECS,UMC,2016,802.939,986.666,3533.88503607007
ARM,Armenia,ECS,UMC,2017,963.398,969.918,3815.3747426037
AUT,Austria,ECS,HIC,2011,5681.788,8378.186,44146.1957578601
AUT,Austria,ECS,HIC,2012,6358.831,10151.18,44221.4600041556
AUT,Austria,ECS,HIC,2013,6090.929,9346.47,43851.3675464788
AUT,Austria,ECS,HIC,2014,5447.235,9999.214,43838.8346845363
AUT,Austria,ECS,HIC,2015,5480.819,9771.017,43915.228020857
AUT,Austria,ECS,HIC,2016,5848.49,10169.897,44362.6702918145
AUT,Austria,ECS,HIC,2017,6323.518,10367.254,45056.6386908289
AUT,Austria,ECS,HIC,2018,5767.532,9726.322,45951.5818951582
AUT,Austria,ECS,HIC,2019,6938.247,10674.098,46550.5623430785
AUT,Austria,ECS,HIC,2020,6736.94,9676.168,43428.6983141255
AUT,Austria,ECS,HIC,2021,7209.945,10642.075,45313.3990043754
AUT,Austria,ECS,HIC,2022,7514.833,11734.97,47250.969589759
BDI,Burundi,SSF,LIC,2020,2866.132,2089.34,255.078218433565
BEL,Belgium,ECS,HIC,2011,5881.834,8403.124,40236.9596151297
BEL,Belgium,ECS,HIC,2012,6988.639,8714.778,40074.4928091814
BEL,Belgium,ECS,HIC,2013,6848.303,9351.282,40007.8997697861
BEL,Belgium,ECS,HIC,2014,6737.01,9215.018,40533.9134833922
BEL,Belgium,ECS,HIC,2015,7140.039,9362.439,40893.804537772
BEL,Belgium,ECS,HIC,2016,6894.167,9294.393,41172.8862464509
BEL,Belgium,ECS,HIC,2017,7281.611,9628.542,41619.3286089022
BEL,Belgium,ECS,HIC,2018,7081.047,9754.675,42208.3625852238
BEL,Belgium,ECS,HIC,2019,8779.827,12040.573,43006.4042605622
BEL,Belgium,ECS,HIC,2020,8923.561,11149.628,40769.0218401768
BEL,Belgium,ECS,HIC,2021,9409.771,11453.928,43119.894333477
BEL,Belgium,ECS,HIC,2022,10172.311,11856.349,44583.5767711768
BEN,Benin,SSF,LMC,2022,420.487,1929.769,1218.50010515449
BFA,Burkina Faso,SSF,LIC,2018,580.6,903.052,694.492813126351
BFA,Burkina Faso,SSF,LIC,2022,554.572,716.34,739.363021191451
BGD,Bangladesh,SAS,LMC,2013,702.861,782.938,1103.15695907123
BGD,Bangladesh,SAS,LMC,2016,966.302,962.846,1299.83091360792
BGD,Bangladesh,SAS,LMC,2017,971.774,979.264,1373.75363740186
BGR,Bulgaria,ECS,HIC,2011,695.841,798.83,6611.30386682636
BGR,Bulgaria,ECS,HIC,2012,945.924,1249.704,6699.50303013555
BGR,Bulgaria,ECS,HIC,2013,872.402,1164.478,6700.53599670634
BGR,Bulgaria,ECS,HIC,2014,948.046,1281.294,6802.71036465632
BGR,Bulgaria,ECS,HIC,2015,1544.708,1991.325,7078.86032298969
BGR,Bulgaria,ECS,HIC,2016,2060.65,2070.42,7344.44354121172
BGR,Bulgaria,ECS,HIC,2017,1958.908,2334.807,7601.43845373389
BGR,Bulgaria,ECS,HIC,2018,2024.106,2009.889,7851.72598908168
BGR,Bulgaria,ECS,HIC,2019,2366.342,3013.703,8206.78129446627
BGR,Bulgaria,ECS,HIC,2020,2441.646,2743.698,7990.69254981114
BGR,Bulgaria,ECS,HIC,2021,2620.034,2960.291,8682.88223826466
BGR,Bulgaria,ECS,HIC,2022,3431.725,3911.723,9352.32652776208
BHS,"Bahamas, The",LCN,HIC,2019,5094.954,4427.332,30481.3536731138
BIH,Bosnia and Herzegovina,ECS,UMC,2011,1189.631,1476.915,4093.05152243746
BIH,Bosnia and Herzegovina,ECS,UMC,2012,1417.969,1403.163,4138.70218363601
BIH,Bosnia and Herzegovina,ECS,UMC,2013,1375.95,1647.782,4305.4675564178
BIH,Bosnia and Herzegovina,ECS,UMC,2014,1548.281,1531.24,4411.38102277262
BIH,Bosnia and Herzegovina,ECS,UMC,2015,1465.214,1640.211,4662.25883724069
BIH,Bosnia and Herzegovina,ECS,UMC,2016,1601.252,1729.738,4876.5347244666
BIH,Bosnia and Herzegovina,ECS,UMC,2020,2170.44,2491.993,5490.75367062899
BIH,Bosnia and Herzegovina,ECS,UMC,2021,2153.098,2327.268,5995.44817572385
BIH,Bosnia and Herzegovina,ECS,UMC,2022,2119.994,2562.585,6327.06293910437
BLR,Belarus,ECS,UMC,2021,2414.86,3427.32,6457.74418441168
BLZ,Belize,LCN,UMC,2014,2047.192,1791.26,6109.47778375326
BLZ,Belize,LCN,UMC,2015,2098.904,2288.528,6154.49593498217
BLZ,Belize,LCN,UMC,2016,1981.013,1852.931,6016.49646985703
BLZ,Belize,LCN,UMC,2017,1518.014,1930.149,5772.92692023491
BLZ,Belize,LCN,UMC,2018,831.316,1348.185,5729.21045186202
BLZ,Belize,LCN,UMC,2019,2343.489,1893.009,5886.9622354935
BLZ,Belize,LCN,UMC,2020,2887.32,2887.32,5003.87784847193
BOL,Bolivia,LCN,LMC,2011,1019.456,1286.033,2568.52051362119
BOL,Bolivia,LCN,LMC,2012,1450.415,1674.343,2657.23884603876
BOL,Bolivia,LCN,LMC,2013,1563.649,2042.66,2793.51456770698
BOL,Bolivia,LCN,LMC,2014,1595.941,1990.909,2900.90241433528
BOL,Bolivia,LCN,LMC,2015,2063.663,1744.509,2996.01289804214
BOL,Bolivia,LCN,LMC,2016,1855.403,2279.59,3077.57057479881
BOL,Bolivia,LCN,LMC,2017,1981.802,2451.679,3160.16421043125
